siteid,fluxnetid,countryid,land_unit,status,latitude,longitude,year_began,koeppen_climate,gtopo30_elevation,igbp_land_use,
60,BR-Bra,Brazil,South America,Active,-0.723708333,-48.50809722,2000,Am - Equatorial monsoon,2,Cropland/Natural Vegetation Mosaic,
63,BR-Cax,Brazil,South America,Active,-1.719719444,-51.45898333,1999,Af - Equatorial rainforest," fully humid""""",1,Evergreen Broadleaf Forest
343,CN-Du1,China,Asia,Active,42.04555556,116.6713889,2005,Dwb - Snow dry winter warm summer,1278,Grasslands,
69,BR-Euc,Brazil,South America,Active,-21.5835,-47.60230556,2006,Aw - Equatorial savannah with dry winter,669,Evergreen Broadleaf Forest,
71,BR-Ji1,Brazil,South America,Active,-10.76180556,-62.35722222,1999,Aw - Equatorial savannah with dry winter,290,Savannas,
72,BR-Ji2,Brazil,South America,Active,-10.08319444,-61.93090278,1999,Aw - Equatorial savannah with dry winter,195,Evergreen Broadleaf Forest,
73,BR-Ji3,Brazil,South America,Active,-10.07805556,-61.93309722,1999,Aw - Equatorial savannah with dry winter,196,Evergreen Broadleaf Forest,
75,BR-Ma1,Brazil,South America,Active,-2.589202778,-60.11490278,1999,Af - Equatorial rainforest," fully humid""""",91,Evergreen Broadleaf Forest
76,BR-Ma2,Brazil,South America,Active,-2.609097222,-60.20929722,1999,Af - Equatorial rainforest," fully humid""""",67,Evergreen Broadleaf Forest
77,BR-Mtg,Brazil,South America,Active,-11.41229167,-55.32470278,1999,Aw - Equatorial savannah with dry winter,280,Evergreen Broadleaf Forest,
79,BR-Res,Brazil,South America,Active,-15.55,-47.6,1999,Aw - Equatorial savannah with dry winter,1056,Woody Savannas,
81,BR-Pan,Brazil,South America,Active,-14.84827778,-43.98797222,2005,Aw - Equatorial savannah with dry winter,465,Woody Savannas,
83,BR-Sa1,Brazil,South America,Active,-2.856666667,-54.95888889,2001,Am - Equatorial monsoon,90,Evergreen Broadleaf Forest,
84,BR-Sa2,Brazil,South America,Inactive,-3.0118955,-54.53652,1999,Am - Equatorial monsoon,37,Evergreen Broadleaf Forest,
85,BR-Sa3,Brazil,South America,Inactive,-3.01802927,-54.97143509,2000,Am - Equatorial monsoon,100,Evergreen Broadleaf Forest,
88,BR-Sga,Brazil,South America,Active,0.212333333,-66.76473333,2004,Af - Equatorial rainforest," fully humid""""",104,Evergreen Broadleaf Forest
89,BR-Sp1,Brazil,South America,Active,-21.61947222,-47.64988889,1998,Aw - Equatorial savannah with dry winter,641,Evergreen Broadleaf Forest,
90,BR-Sp2,Brazil,South America,Active,-21.63705556,-47.79025,1996,Aw - Equatorial savannah with dry winter,587,Woody Savannas,
91,BR-Su1,Brazil,South America,Active,-15.95,-47.86666667,1999,Aw - Equatorial savannah with dry winter,1096,Woody Savannas,
92,BR-Su2,Brazil,South America,Active,-15.95,-47.86666667,1999,Aw - Equatorial savannah with dry winter,1096,Woody Savannas,
93,BW-Ghz,Botswana,Africa,Inactive,-22.40916667,21.71305556,2002,BSh - Arid Steppe hot,1073,Open Shrublands,
94,BW-Ma1,Botswana,Africa,Active,-19.9165,23.56033333,1999,BSh - Arid Steppe hot,,Savannas,
95,BW-Ma2,Botswana,Africa,Inactive,-19.60759167,23.28693056,,BSh - Arid Steppe hot,,Permanent Wetlands,
118,ON-JMW,Canada,North America,Active,48.133,-81.628,2006,,,,
119,CA-Cbo,Canada,North America,Active,44.3185,-79.9342,1995,Dfb - Snow fully humid warm summer,217,Mixed Forests,
120,CA-Ca1,Canada,North America,Active,49.86725,-125.3336,1997,Csb - Warm temperate with dry," warm summer""""",313,Evergreen Needleleaf Forest
121,CA-Ca2,Canada,North America,Active,49.87048,-125.29087,2000,Csb - Warm temperate with dry," warm summer""""",170,Evergreen Needleleaf Forest
122,CA-Ca3,Canada,North America,Active,49.53462,-124.90044,2001,Cfb - Warm temperate fully humid with warm summer,153,Evergreen Needleleaf Forest,
125,CA-Cha,Canada,North America,Inactive,45.8847,-67.3569,2003,Dfb - Snow fully humid warm summer,150,Mixed Forests,
214,US-KFS,United States,North America,Active,39.0561,-95.1907,2007,Cfa - Warm temperate fully humid with hot summer,,Cropland/Natural Vegetation Mosaic,
227,CA-Gro,Canada,North America,Active,48.2173,-82.1555,2003,Dfb - Snow fully humid warm summer,355,Mixed Forests,
233,CA-Let,Canada,North America,Active,49.70919,-112.94025,1998,Dfb - Snow fully humid warm summer,926,Grasslands,
234,CA-Man,Canada,North America,Inactive,55.88,-98.481,1994,Dfc - Snow fully humid cool summer,253,Evergreen Needleleaf Forest,
235,CA-Mer,Canada,North America,Active,45.4094,-75.5187,1998,Dfb - Snow fully humid warm summer,65,Permanent Wetlands,
239,CA-Na1,Canada,North America,Inactive,46.47384,-67.09933,2003,Dfb - Snow fully humid warm summer,325,Mixed Forests,
240,CA-Na2,Canada,North America,Inactive,46.47583333,-67.07694444,2003,Dfb - Snow fully humid warm summer,338,Mixed Forests,
244,CA-NS1,Canada,North America,Inactive,55.87916667,-98.48388889,2000,Dfc - Snow fully humid cool summer,253,Evergreen Needleleaf Forest,
245,CA-NS2,Canada,North America,Inactive,55.90583333,-98.52472222,2000,Dfc - Snow fully humid cool summer,257,Evergreen Needleleaf Forest,
246,CA-NS3,Canada,North America,Inactive,55.91166667,-98.38222222,2000,Dfc - Snow fully humid cool summer,257,Evergreen Needleleaf Forest,
247,CA-NS4,Canada,North America,Inactive,55.91166667,-98.38222222,2001,Dfc - Snow fully humid cool summer,257,Evergreen Needleleaf Forest,
248,CA-NS5,Canada,North America,Inactive,55.86305556,-98.485,2000,Dfc - Snow fully humid cool summer,254,Evergreen Needleleaf Forest,
249,CA-NS6,Canada,North America,Inactive,55.91666667,-98.96444444,2000,Dfc - Snow fully humid cool summer,245,Evergreen Needleleaf Forest,
250,CA-NS7,Canada,North America,Inactive,56.63583333,-99.94833333,1999,Dfc - Snow fully humid cool summer,291,Evergreen Needleleaf Forest,
251,CA-NS8,Canada,North America,Inactive,55.89805556,-98.21611111,2001,Dfc - Snow fully humid cool summer,276,Evergreen Needleleaf Forest,
258,CA-Oas,Canada,North America,Active,53.62889,-106.19779,1996,Dfc - Snow fully humid cool summer,580,Mixed Forests,
259,CA-Obs,Canada,North America,Active,53.98717,-105.11779,1994,Dfc - Snow fully humid cool summer,598,Evergreen Needleleaf Forest,
260,CA-Ojp,Canada,North America,Active,53.91634,-104.69203,1994,Dfc - Snow fully humid cool summer,518,Evergreen Needleleaf Forest,
268,CA-Qcu,Canada,North America,Active,49.26708,-74.03653,2001,Dfc - Snow fully humid cool summer,412,Evergreen Needleleaf Forest,
269,CA-Qfo,Canada,North America,Active,49.69247,-74.34204,2003,Dfc - Snow fully humid cool summer,390,Evergreen Needleleaf Forest,
273,CA-SF1,Canada,North America,Inactive,54.48495,-105.81735,2003,Dfc - Snow fully humid cool summer,566,Evergreen Needleleaf Forest,
276,CA-Fen,Canada,North America,Active,53.80206,-104.61798,2002,Dfc - Snow fully humid cool summer,494,Evergreen Needleleaf Forest,
277,CA-SF2,Canada,North America,Inactive,54.25392,-105.8775,2001,Dfc - Snow fully humid cool summer,511,Mixed Forests,
278,CA-SF3,Canada,North America,Inactive,54.09156,-106.00526,2002,Dfc - Snow fully humid cool summer,561,Evergreen Needleleaf Forest,
279,CA-SJ1,Canada,North America,Active,53.9084,-104.6559,2001,Dfc - Snow fully humid cool summer,520,Evergreen Needleleaf Forest,
280,CA-SJ2,Canada,North America,Active,53.9447,-104.6493,2003,Dfc - Snow fully humid cool summer,524,Evergreen Needleleaf Forest,
284,CA-SJ3,Canada,North America,Active,53.87581,-104.64529,2003,Dfc - Snow fully humid cool summer,495,Evergreen Needleleaf Forest,
287,CA-TP1,Canada,North America,Active,42.66093611,-80.55951944,2003,Dfb - Snow fully humid warm summer,197,Cropland/Natural Vegetation Mosaic,
288,CA-TP2,Canada,North America,Inactive,42.77441944,-80.458775,2003,Dfb - Snow fully humid warm summer,239,Cropland/Natural Vegetation Mosaic,
289,CA-TP3,Canada,North America,Active,42.70681111,-80.34831389,2003,Dfb - Snow fully humid warm summer,216,Mixed Forests,
290,CA-TP4,Canada,North America,Active,42.70977778,-80.3574,2003,Dfb - Snow fully humid warm summer,219,Mixed Forests,
292,CA-WP1,Canada,North America,Inactive,54.95384,-112.46698,2003,Dfc - Snow fully humid cool summer,549,Mixed Forests,
296,CG-Euc,Congo - Kinshasa,Africa,Active,-4,12,2000,Aw - Equatorial savannah with dry winter,331,Evergreen Broadleaf Forest,
304,CH-Cha,Switzerland,Europe,Active,47.21022222,8.410444444,2006,Cfb - Warm temperate fully humid with warm summer,394,Cropland/Natural Vegetation Mosaic,
306,CH-Fru,Switzerland,Europe,Active,47.11583333,8.537777778,2006,Cfb - Warm temperate fully humid with warm summer,975,Cropland/Natural Vegetation Mosaic,
308,CH-Lae,Switzerland,Europe,Active,47.47808333,8.365,2004,Cfb - Warm temperate fully humid with warm summer,645,Mixed Forests,
313,CH-Oe1,Switzerland,Europe,Active,47.28583333,7.731944444,2002,Cfb - Warm temperate fully humid with warm summer,451,Croplands,
314,CH-Oe2,Switzerland,Europe,Active,47.28630556,7.734333333,2004,Cfb - Warm temperate fully humid with warm summer,450,Croplands,
318,CH-See,Switzerland,Europe,Inactive,47.0567,8.4644,2002,Cfb - Warm temperate fully humid with warm summer,1068,Mixed Forests,
319,CH-Dav,Switzerland,Europe,Active,46.81533333,9.855916667,1997,ET - Polar tundra,1762,Evergreen Needleleaf Forest,
326,CN-Bed,China,Asia,Active,39.53055556,116.2519444,2005,Dwa - Snow dry winter hot summer,30,Croplands,
327,CN-Cha,China,Asia,Active,42.4025,128.0958333,2002,Dwb - Snow dry winter warm summer,754,Mixed Forests,
334,CN-Dan,China,Asia,Active,30.85,91.08333333,2003,ET - Polar tundra,4751,Grasslands,
335,CN-Din,China,Asia,Active,23.16666667,112.5333333,2002,Cfa - Warm temperate fully humid with hot summer,261,Evergreen Broadleaf Forest,
336,CN-Do1,China,Asia,Active,31.5167,121.9607,2004,Cfa - Warm temperate fully humid with hot summer,6,Water,
337,CN-Do2,China,Asia,Active,31.5847,121.9035,2004,Cfa - Warm temperate fully humid with hot summer,4,Woody Savannas,
338,CN-Do3,China,Asia,Active,31.5169,121.9717,2004,Cfa - Warm temperate fully humid with hot summer,6,Water,
340,CN-Dwu,China,Asia,Intermittent,45.56013889,117.0002778,2005,Dwc - Snow dry winter cool summer,875,Grasslands,
344,CN-Du2,China,Asia,Active,42.04666667,116.2836111,2005,Dwb - Snow dry winter warm summer,1331,Grasslands,
345,CN-Hab,China,Asia,Active,37.613333,101.305,2002,ET - Polar tundra,3183,Grasslands,
348,CN-Hug,China,Asia,Inactive,49.32695,120.0503833,2006,Dwc - Snow dry winter cool summer,631,Grasslands,
352,CN-Ku1,China,Asia,Active,40.53833333,108.6936111,2005,BSk - Arid Steppe cold,1023,Grasslands,
353,CN-Ku2,China,Asia,Active,40.38083333,108.5486111,2005,BSk - Arid Steppe cold,1156,Grasslands,
358,CN-Qia,China,Asia,Active,26.73333333,115.0666667,2002,Cfa - Warm temperate fully humid with hot summer,64,Woody Savannas,
375,CN-Xi1,China,Asia,Active,43.55444444,116.2797222,2005,Dwb - Snow dry winter warm summer,1293,Grasslands,
376,CN-Xsh,China,Asia,Active,21.960833,101.200278,2002,Cwa - Warm temperate with dry winter and hot summer,732,Evergreen Broadleaf Forest,
377,CN-Yuc,China,Asia,Active,36.95,116.6,,Cwa - Warm temperate with dry winter and hot summer,13,Croplands,
380,CN-Zha,China,Asia,Inactive,39,100,1992,BSk - Arid Steppe cold,1877,Grasslands,
382,CR-Lse,Costa Rica,South America,Inactive,10.42333333,-84.02111111,1998,Am - Equatorial monsoon,93,Evergreen Broadleaf Forest,
383,CR-Lin,Costa Rica,South America,Inactive,11.01667,-85.5,2005,Aw - Equatorial savannah with dry winter,310,Evergreen Broadleaf Forest,
384,CR-Sro,Costa Rica,South America,Active,10.81472,-85.615,2005,Aw - Equatorial savannah with dry winter,258,Cropland/Natural Vegetation Mosaic,
386,CZ-BK1,Czech Republic,Europe,Active,49.5021286,18.53685951,2000,Dfb - Snow fully humid warm summer,862,Evergreen Needleleaf Forest,
387,DE-Ber,Germany,Europe,Active,47.61666667,12.58333333,2002,Dfb - Snow fully humid warm summer,1360,Mixed Forests,
389,DE-Geb,Germany,Europe,Active,51.1001,10.9143,2001,Cfb - Warm temperate fully humid with warm summer,157,Croplands,
391,DE-Gri,Germany,Europe,Active,50.94946944,13.512525,2004,Cfb - Warm temperate fully humid with warm summer,377,Mixed Forests,
392,DE-Hai,Germany,Europe,Active,51.07916667,10.453,2000,Cfb - Warm temperate fully humid with warm summer,433,Mixed Forests,
394,DE-Kan,Germany,Europe,Active,53.784328,10.604899,2001,Cfb - Warm temperate fully humid with warm summer,15,Mixed Forests,
395,DE-Kli,Germany,Europe,Active,50.8928806,13.5225056,2004,Cfb - Warm temperate fully humid with warm summer,468,Croplands,
396,DE-Lnf,Germany,Europe,Inactive,51.3282167,10.3678,2012,Cfb - Warm temperate fully humid with warm summer,456,Deciduous Broadleaf Forest,
399,DE-Meh,Germany,Europe,Active,51.27530556,10.65547222,2003,Cfb - Warm temperate fully humid with warm summer,291,Croplands,
401,DE-Obe,Germany,Europe,Active,50.7836167,13.7196306,2004,Cfb - Warm temperate fully humid with warm summer,695,Evergreen Needleleaf Forest,
402,DE-Sch,Germany,Europe,Active,47.6,12.96666667,2004,Cfb - Warm temperate fully humid with warm summer,684,Evergreen Needleleaf Forest,
403,DE-Sol,Germany,Europe,Active,51.76666667,9.583333333,1995,Cfb - Warm temperate fully humid with warm summer,484,Evergreen Needleleaf Forest,
404,DE-Tha,Germany,Europe,Active,50.96361111,13.56694444,1996,Cfb - Warm temperate fully humid with warm summer,320,Evergreen Needleleaf Forest,
405,DE-Bay,Germany,Europe,Inactive,50.14194,11.86694,1996,Cfb - Warm temperate fully humid with warm summer,781,Mixed Forests,
406,DE-Wet,Germany,Europe,Active,50.4535,11.45753333,2002,Cfb - Warm temperate fully humid with warm summer,703,Evergreen Needleleaf Forest,
410,DK-Fou,Denmark,Europe,Active,56.48419952,9.587220192,2004,Cfb - Warm temperate fully humid with warm summer,55,Croplands,
413,DK-Lva,Denmark,Europe,Active,55.68330002,12.08329964,2004,Cfb - Warm temperate fully humid with warm summer,-2493,Mixed Forests,
414,DK-Ris,Denmark,Europe,Active,55.53027778,12.09722222,2004,Cfb - Warm temperate fully humid with warm summer,24,Croplands,
419,DK-Sor,Denmark,Europe,Active,55.4858694,11.6446444,1996,Cfb - Warm temperate fully humid with warm summer,35,Deciduous Broadleaf Forest,
420,DK-Sto,Denmark,Europe,Inactive,55.4833,11.6333,1998,Cfb - Warm temperate fully humid with warm summer,39,Croplands,
423,DK-Ulb,Denmark,Europe,Active,56.29102778,8.428027778,2010,Cfb - Warm temperate fully humid with warm summer,39,Mixed Forests,
435,ES-VDA,Spain,Europe,Active,42.15218,1.4485,2002,Cfb - Warm temperate fully humid with warm summer,1787,Savannas,
437,ES-ES1,Spain,Europe,Active,39.34597222,-0.318805555,1999,Csa - Warm temperate with dry," hot summer""""",1,Permanent Wetlands
438,ES-ES2,Spain,Europe,Active,39.27555556,-0.315277778,2004,Csa - Warm temperate with dry," hot summer""""",7,Croplands
439,ES-LJu,Spain,Europe,Active,36.926594,-2.752115,2004,Csa - Warm temperate with dry," hot summer""""",1622,Closed Shrublands
440,ES-LMa,Spain,Europe,Active,39.9415,-5.773361111,2004,Csa - Warm temperate with dry," hot summer""""",278,Closed Shrublands
447,FI-Hyy,Finland,Europe,Active,61.8475,24.295,1996,Dfc - Snow fully humid cool summer,185,Evergreen Needleleaf Forest,
448,FI-Jok,Finland,Europe,Inactive,60.8986,23.51345,2000,Dfc - Snow fully humid cool summer,118,Croplands,
449,FI-Kaa,Finland,Europe,Active,69.14069444,27.29502778,2000,Dfc - Snow fully humid cool summer,159,Woody Savannas,
455,FI-Alk,Finland,Europe,Active,62.183367,22.784233,2002,Dfc - Snow fully humid cool summer,165,Evergreen Needleleaf Forest,
459,FI-Sod,Finland,Europe,Active,67.36186111,26.63783333,2000,Dfc - Snow fully humid cool summer,188,Evergreen Needleleaf Forest,
461,FI-Var,Finland,Europe,Active,67.7569,29.616,2012,Dfc - Snow fully humid cool summer,308,Evergreen Needleleaf Forest,
462,FR-Aur,France,Europe,Active,43.5496,1.106148,2004,Cfb - Warm temperate fully humid with warm summer,258,Croplands,
463,FR-Avi,France,Europe,Active,43.91608333,4.878055556,2004,Csa - Warm temperate with dry," hot summer""""",33,Croplands
464,FR-Bil,France,Europe,Active,44.49389,-0.95594,2004,Cfb - Warm temperate fully humid with warm summer,39,Woody Savannas,
466,FR-LBr,France,Europe,Active,44.71711,-0.7693,1996,Cfb - Warm temperate fully humid with warm summer,62,Cropland/Natural Vegetation Mosaic,
470,FR-Cou,France,Europe,Active,44.75555556,-0.555555556,2004,Cfb - Warm temperate fully humid with warm summer,14,Cropland/Natural Vegetation Mosaic,
472,FR-Fon,France,Europe,Active,48.476402,2.780142,2005,Cfb - Warm temperate fully humid with warm summer,94,Deciduous Broadleaf Forest,
474,FR-Gri,France,Europe,Active,48.84422,1.95191,2004,Cfb - Warm temperate fully humid with warm summer,117,Croplands,
476,FR-Hes,France,Europe,Active,48.67416,7.06556,1996,Cfb - Warm temperate fully humid with warm summer,293,Deciduous Broadleaf Forest,
477,FR-Lam,France,Europe,Active,43.4965,1.2379,2004,Cfb - Warm temperate fully humid with warm summer,182,Croplands,
478,FR-Lq1,France,Europe,Active,45.64305556,2.735833333,2002,Cfb - Warm temperate fully humid with warm summer,1066,Croplands,
484,FR-Lus,France,Europe,Active,46.415568,0.119218,2005,Cfb - Warm temperate fully humid with warm summer,63,Croplands,
487,FR-Pue,France,Europe,Active,43.74139,3.595833,2000,Csa - Warm temperate with dry," hot summer""""",211,Mixed Forests
498,GF-Guy,French Guiana,South America,Active,5.278771877,-52.92486191,2004,Af - Equatorial rainforest," fully humid""""",29,Evergreen Broadleaf Forest
502,GR-Mog,Greece,Europe,Active,38,22.61666667,1998,Csa - Warm temperate with dry," hot summer""""",766,Woody Savannas
504,HU-Bug,Hungary,Europe,Active,46.69110107,19.60129929,2002,Cfb - Warm temperate fully humid with warm summer,106,Croplands,
505,HU-He1,Hungary,Europe,Active,46.955947,16.652025,1997,Cfb - Warm temperate fully humid with warm summer,243,Croplands,
506,HU-He2,Hungary,Europe,Active,46.95515,16.652661,1999,Cfb - Warm temperate fully humid with warm summer,243,Croplands,
507,HU-Mat,Hungary,Europe,Active,47.84690094,19.72599983,2004,Cfb - Warm temperate fully humid with warm summer,315,Croplands,
511,ID-Buk,Indonesia,Asia,Inactive,-0.833333333,117.05,1999,Af - Equatorial rainforest," fully humid""""",1,Evergreen Broadleaf Forest
515,IE-Ca2,Ireland,Europe,Active,52.86758,-6.91117,2004,Cfb - Warm temperate fully humid with warm summer,57,Grasslands,
516,IE-Dri,Ireland,Europe,Active,51.9866944,-8.75180556,2002,Cfb - Warm temperate fully humid with warm summer,186,Grasslands,
517,IE-Kil,Ireland,Europe,Active,51.96836111,-9.900305556,2002,Cfb - Warm temperate fully humid with warm summer,169,Woody Savannas,
518,IE-Wex,Ireland,Europe,Active,52.29819444,-6.499777777,2004,Cfb - Warm temperate fully humid with warm summer,68,Grasslands,
522,IL-Yat,Israel,Asia,Active,31.34499931,35.05149841,2000,BSh - Arid Steppe hot,664,Open Shrublands,
526,IS-Gun,Iceland,Europe,Active,63.83330154,-20.2166996,1996,Cfc - Warm temperate fully humid with cool summer,65,Permanent Wetlands,
528,IT-Amp,Italy,Europe,Inactive,41.90409927,13.60515669,2002,Cfa - Warm temperate fully humid with hot summer,991,Croplands,
530,IT-Ren,Italy,Europe,Active,46.58686,11.43369,1998,Dfc - Snow fully humid cool summer,1794,Evergreen Needleleaf Forest,
531,IT-Bon,Italy,Europe,Active,39.47777778,16.53472222,2004,Csa - Warm temperate with dry," hot summer""""",1203,Mixed Forests
532,IT-BCi,Italy,Europe,Active,40.52375,14.95744444,2004,Csa - Warm temperate with dry," hot summer""""",13,Croplands
533,IT-PT1,Italy,Europe,Active,45.20087222,9.061038889,1998,Cfa - Warm temperate fully humid with hot summer,70,Croplands,
534,IT-Cpz,Italy,Europe,Active,41.7052493,12.3761058,1997,Csa - Warm temperate with dry," hot summer""""",9,Evergreen Needleleaf Forest
535,IT-Col,Italy,Europe,Active,41.84936,13.58814,1996,Cfa - Warm temperate fully humid with hot summer,1645,Deciduous Broadleaf Forest,
1078,US-Ton,United States,North America,Active,38.4316,-120.966,2001,Csa - Warm temperate with dry," hot summer""""",170,Woody Savannas
537,IT-LMa,Italy,Europe,Active,45.15258,7.58259,2001,Cfb - Warm temperate fully humid with warm summer,2857,Mixed Forests,
539,IT-Lav,Italy,Europe,Active,45.9562,11.28132,2000,Cfb - Warm temperate fully humid with warm summer,1305,Evergreen Needleleaf Forest,
541,IT-Lec,Italy,Europe,Inactive,43.30359,11.26975,2005,Cfa - Warm temperate fully humid with hot summer,260,Mixed Forests,
542,IT-Mal,Italy,Europe,Active,46.11402,11.70334,2002,ET - Polar tundra,1610,Mixed Forests,
543,IT-MBo,Italy,Europe,Active,46.014678,11.045831,2002,Dfb - Snow fully humid warm summer,1547,Grasslands,
544,IT-Neg,Italy,Europe,Active,45.74756389,12.44673056,2005,Cfb - Warm temperate fully humid with warm summer,11,Croplands,
545,IT-Non,Italy,Europe,Active,44.69019,11.09109,2000,Cfa - Warm temperate fully humid with hot summer,14,Cropland/Natural Vegetation Mosaic,
547,IT-Pia,Italy,Europe,Inactive,42.5838694,10.0784,2002,Csa - Warm temperate with dry," hot summer""""",13,Croplands
549,IT-Ro1,Italy,Europe,Active,42.40812,11.93001,2000,Csa - Warm temperate with dry," hot summer""""",153,Cropland/Natural Vegetation Mosaic
550,IT-Ro2,Italy,Europe,Active,42.39026,11.92093,2002,Csa - Warm temperate with dry," hot summer""""",165,Cropland/Natural Vegetation Mosaic
552,IT-SRo,Italy,Europe,Active,43.72786111,10.28444444,1999,Csa - Warm temperate with dry," hot summer""""",2,Water
555,IT-Tol,Italy,Europe,Active,42.18967,11.92155,2005,Csa - Warm temperate with dry," hot summer""""",415,Mixed Forests
556,JP-Aka,Japan,Asia,Inactive,43.11666667,144.3666667,1998,Dfb - Snow fully humid warm summer,3,Grasslands,
557,JP-App,Japan,Asia,Active,40,141.5666667,1999,Cfb - Warm temperate fully humid with warm summer,996,Deciduous Broadleaf Forest,
558,JP-Fuj,Japan,Asia,Active,35.45136667,138.7652667,1999,Dfb - Snow fully humid warm summer,1043,Mixed Forests,
559,JP-Hac,Japan,Asia,Active,34.53333333,133.9333333,1998,Cfa - Warm temperate fully humid with hot summer,87,Cropland/Natural Vegetation Mosaic,
560,JP-Hit,Japan,Asia,Active,42.98683583,141.3852878,1999,Dfb - Snow fully humid warm summer,175,Mixed Forests,
561,JP-Hok,Japan,Asia,Active,42.699,141.571,1998,Dfb - Snow fully humid warm summer,3,Water,
563,JP-Kah,Japan,Asia,Active,33.133695,130.71187,1999,Cfa - Warm temperate fully humid with hot summer,179,Mixed Forests,
564,JP-Ksa,Japan,Asia,Inactive,36.06666667,140.25,1996,Cfa - Warm temperate fully humid with hot summer,2,Water,
565,JP-Kwa,Japan,Asia,Inactive,35.15,139.0833333,1997,Cfa - Warm temperate fully humid with hot summer,219,Urban and Built-Up,
567,JP-Onn,Japan,Asia,Inactive,43.11666667,144.3333333,2001,Dfb - Snow fully humid warm summer,8,Cropland/Natural Vegetation Mosaic,
568,JP-Shi,Japan,Asia,Active,33.44277778,135.7594444,1999,Cfa - Warm temperate fully humid with hot summer,-3680,Woody Savannas,
569,JP-Tak,Japan,Asia,Active,36.14616667,137.4231111,1993,Dfb - Snow fully humid warm summer,1355,Mixed Forests,
574,JP-Tom,Japan,Asia,Inactive,42.73697222,141.5186389,2000,Dfb - Snow fully humid warm summer,115,Cropland/Natural Vegetation Mosaic,
575,JP-Tsu,Japan,Asia,Inactive,36,140.0166667,,Cfa - Warm temperate fully humid with hot summer,13,Croplands,
576,JP-Yaw,Japan,Asia,Active,36,140.0166667,1999,Cfa - Warm temperate fully humid with hot summer,13,Croplands,
581,KR-Har,South Korea,Asia,Inactive,37.716667,126.3,2001,Dwa - Snow dry winter hot summer,1,Water,
